year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,172,895,83.88
2003,1142,192,950,83.19
2004,1135,193,942,83.00
2005,1097,173,924,84.23
2006,1118,174,944,84.44
2007,1090,139,951,87.25
2008,1108,138,970,87.55
2009,1140,144,996,87.37
2010,1099,123,976,88.81
2011,1101,110,991,90.01
2012,1103,104,999,90.57
2013,1105,89,1016,91.95
2014,1053,83,970,92.12
2015,1059,69,990,93.48
2016,1122,62,1060,94.47
2017,1091,49,1042,95.51
2018,1147,41,1106,96.43
2019,1083,42,1041,96.12
2020,1012,20,992,98.02
